Stage Name,Full Name,Date of Birth,Group,Country,Birthplace,Other Group,Gender
A.M,Seong Hyunwoo,12/31/96,Limitless,South Korea,,,M
Ace,Jang Wooyoung,8/28/92,VAV,South Korea,,,M
Aeji,Kwon Aeji,10/25/99,Hashtag,South Korea,Daegu,,F
AhIn,Lee Ahin,9/27/99,MOMOLAND,South Korea,Wonju,,F
Ahra,Go Ahra,2/21/01,Favorite,South Korea,Yeosu,,F
Ahyoon,Choi Subin,10/23/04,BOTOPASS,South Korea,,,F
Ahyoung,Cho Jayoung,5/26/91,Dal Shabet,South Korea,Seoul,,F
Ahyung,Kang Ahyoung,8/27/96,P.O.P,South Korea,Pohang,,F
Ailee,Lee Yejin,5/30/89,,South Korea,Denver,,F
Aini,Kim Heejung,7/13/91,,South Korea,,,F
Aisha,Heo Yoorim,7/21/00,Everglow,South Korea,,,F
Alex,Alexander Schmidt Lee,7/9/02,DRIPPIN,Germany,,,M
AleXa,Kim Seri,12/6/96,,USA,,,F
Alice,Song Joohee,3/21/90,Hello Venus,South Korea,Wonju,,F
Allen,Allen Ma,4/26/99,CRAVITY,USA,,,M
Amber,Amber Josephine Liu,9/18/92,f(x),USA,Los Angeles,,F
Anne,Lee Seoyoung,10/17/00,GWSN,South Korea,,,F
Anthony,Anthony Lo,3/12/98,VARSITY,China,,,M
Arang,Son Mnjung,3/8/00,,South Korea,,,F
Arang,Park Yerim,1/22/01,Pink Fantasy,South Korea,,,F
Areum,Kim Daun,1/31/98,AREAL,South Korea,,,F
Ari,Kim Sunyoung,10/23/94,Tahiti,South Korea,Daegu,,F
Ari,Hwang Nayoon,3/30/99,RedSquare,South Korea,Seoul,,F
Arie,Jeon Minjae,4/7/00,MIXX,South Korea,,,F
Arin,Choi Yewon,6/18/99,Oh My Girl,South Korea,Busan,,F
Aron,Kwak Youngmin,5/21/93,NU'EST,South Korea,California,NU'EST W,M
Asahi,Hanada Asahi,8/20/01,Treasure,Japan,,,M
Ashley,Ashley Choi,11/9/91,Ladies' Code,South Korea,Incheon,,F
Aurora,Yang Lan,1/14/97,NATURE,China,,,F
Avin,Park Donghyun,12/18/99,ENOi,South Korea,,,M
