Name,Debut,Company,Members,Orig. Memb.,Fanclub Name,Active
100%,9/18/12,TOP Media,4,7,Perfection,Yes
14U,4/17/17,BG,14,14,,No
1TEAM,3/27/19,LiveWorks,5,5,,No
1the9,2/9/19,MBK,9,9,,Yes
24K,9/6/12,Choeun,5,6,24U,Yes
2AM,6/21/08,"JYP, Big Hit",4,4,I Am,No
2PM,7/4/08,JYP,6,7,Hottest,Yes
2Z,1/14/20,Morph,5,5,,Yes
8Eight,9/6/07,Big Hit,3,3,Sweet Voice,No
A-JAX,6/1/12,DSP,5,7,A-LIGHT,No
A.C.E,5/23/17,Beat,5,5,Choice,Yes
A.cian,10/10/12,Wings,4,5,,No
A6P,5/20/15,DS,6,6,,No
AB6IX,5/22/19,Brand New,5,5,ABNEW,Yes
AlphaBat,11/14/13,Simtong,5,9,,Yes
ARGON,3/11/19,MSH,6,6,A-Rang,Yes
ASTRO,2/23/16,Fantagio,6,6,AROHA,Yes
ATEEZ,10/24/18,KQ,8,8,,Yes
AWEEK,1/31/19,Illusion,7,7,,Yes
B.A.P,1/27/12,TS,6,6,BABY,No
B.Heart,1/25/17,Poong,4,4,,Yes
B.I.G,7/9/14,GH,5,5,,Yes
B.O.Y,1/20/20,Music Works,2,2,,Yes
B1A4,4/19/10,WM,5,5,BANA,Yes
BAE173,11/19/20,PocketDol,9,9,,Yes
Be.A,5/25/17,Chrome,3,5,,Yes
Beatwin,1/6/14,Elen,2,6,,Hiatus
BIGBANG,8/19/06,YG,4,5,VIP,Yes
Bigflo,7/19/14,HO,5,5,,Yes
BIGSTAR,7/12/12,Brave,5,5,,No
BLACK6IX,4/7/17,BLACK HOLE,6,6,,Yes
Blanc7,3/3/17,Jackpot,7,7,Prism,No
BLK,11/28/17,Byking,7,7,,No
Block B,4/15/11,KQ,7,7,BBC,Yes
Boyfriend,5/26/11,Starship,6,6,Bestfriend,No
Boys Republic,6/3/13,"Happy Tribe, Universal",5,5,Royal Family,Hiatus
BtoB,3/21/12,Cube,7,7,Melody,Yes
BTS,6/13/13,Big Hit,7,7,ARMY,Yes
BXK,11/2/20,New Planet,6,6,,Yes
C-Clown,6/19/12,Yedang,6,6,Crown,No
CICI,6/27/19,UPVOTE,4,4,,No
Ciipher,3/15/21,Rain,7,7,,Yes
CIX,7/23/19,C9,5,5,,Yes
CNBLUE,1/14/10,FNC,4,4,Boice,Yes
CRAVITY,4/14/20,Starship,9,9,,Yes
CROSS GENE,7/8/12,Amuse,5,6,Chromosome,Yes
D-Crunch,8/6/18,All-S,9,9,,Yes
D.COY,2/19/20,Rolling,5,5,,Yes
D1CE,8/1/19,Happyface,5,5,Don1y,Yes
Dalmatian,9/1/10,Monkey Funch,7,7,Dalmate,No
DAY6,9/7/15,JYP,5,6,,Yes
DKB,2/3/20,Brave,9,9,,Yes
DONGKIZ,4/24/19,Dongyo,5,5,,Yes
DRIPPIN,10/26/20,Woollim,7,7,,Yes
Dustin,1/6/20,LPA,7,7,The Sten,Yes
E'LAST,6/9/20,E Entertainment,8,8,,Yes
ENHYPEN,11/30/20,Be:lift,7,7,ENGENE,Yes
ENOi,4/19/19,KITHEWHALE,7,7,,No
EXO,4/8/12,SM,9,12,EXO-L,Yes
F.able,6/4/20,Haerium,5,5,,Yes
Fly to the Sky,11/21/99,"SM, H2",2,2,Fly High,Yes
FTISLAND,6/7/07,FNC,4,5,Primadonna,Yes
g.o.d.,1/26/99,"JYP, SidusHQ",5,5,Fan God,Yes
Ghost9,9/23/20,Maroo,9,9,,Yes
Golden Child,8/28/17,Woollim,10,11,,Yes
GOT7,1/16/14,JYP,7,7,I GOT7,Yes
GreatGuys,8/25/17,DNA,9,9,Grace,Yes
H.B.Y,8/16/17,Rainbow,5,5,,Yes
H.O.T,9/7/96,SM,5,5,Club H.O.T,No
HALO,7/26/14,Histar,6,6,,Yes
HIGH4,4/8/14,NAP,4,4,,No
Highlight,10/14/09,Around Us,4,6,B2uty,Yes
HISTORY,4/26/13,LOEN,5,5,Storia,No
Homme,6/28/10,Big Hit,2,2,,No
Honeyst,5/17/17,FNC,4,4,,Yes
Hotshot,10/29/14,Star Crew,5,6,,No
iKON,9/15/15,YG,6,7,iKONIC,Yes
Imfact,1/27/16,Star Empire,5,5,,Yes
IN2IT,10/26/17,MMO,7,8,,Yes
Infinite,6/9/10,Woollim,6,7,Inspirit,Yes
INX,8/2/16,NA,5,5,,No
IZ,8/31/17,Music K,4,4,,Yes
JBJ,10/18/17,Fave,6,6,,No
JBJ95,10/30/18,Hunus,2,2,,Yes
JJCC,3/13/14,Jackie Chan Group,5,6,,No
JYJ,9/8/10,C-JeS,3,3,Cassiopeia,Yes
K-Much,1/7/14,Chrome,4,5,,No
Kingdom,2/18/21,GF,7,7,Kingmakers,Yes
KNK,3/3/16,YNB,5,5,Tinker Bell,Yes
Limitless,7/9/19,ONO,4,4,,Yes
LU:KUS,7/4/14,JWK,4,5,,Yes
Lucente,9/18/18,NOGA,7,7,,Yes
M.I.B,10/26/11,Jungle,4,4,,No
M.O.N.T,1/4/19,FM,3,3,,Yes
Madtown,10/6/14,GNI,7,7,,No
MAP6,11/10/15,DreamT,5,5,,Yes
Masc,8/19/16,JJ Holic,4,8,,Yes
MBLAQ,10/14/09,J. Tune,3,5,A+,Yes
MCND,2/27/20,TOP Media,5,5,,Yes
Mfect,4/27/15,Midas,5,5,,Yes
MIRAE,3/17/21,DSP,7,7,,Yes
MONSTA X,5/14/14,Starship,6,7,Monbebe,Yes
MR.MR,10/4/12,WinningIn,6,5,,Yes
MustB,1/21/19,MustM,7,7,,Yes
MVP,3/13/17,PH,7,7,,Yes
MXM,9/6/17,Brand New,2,2,,Yes
MY.st,3/26/20,MYStar,5,5,,Yes
MYNAME,10/27/11,H2,5,5,MYgirl,Yes
Myteen,7/26/17,The Music Works,6,7,,No
N-Sonic,10/5/11,C2K,6,5,,No
N-Train,5/27/11,MediaLine,5,5,,No
N.CUS,8/27/19,Kyuri,12,12,,Yes
N.Flying,5/20/15,FNC,4,4,N.Fia,Yes
NCT,4/9/16,SM,18,18,NCTzen,Yes
Newkidd,4/25/19,J-FLO,7,7,,Yes
Noir,4/9/18,LUK,9,9,,Yes
NTB,5/28/18,High Choice,6,6,,Yes
NU'EST,3/15/12,Pledis,5,5,LOΛΕ,Yes
OFF THE CUFF,4/2/20,Purple,5,5,,Yes
Oneus,1/9/19,RBW,6,6,,Yes
ONF,8/2/17,WM,6,7,,Yes
OnlyOneOf,5/28/19,RSVP,7,7,,Yes
P1Harmony,10/28/20,FNC,6,6,,Yes
PENTAGON,10/10/16,Cube,9,10,,Yes
Phantom,11/25/11,"Brand New, RBW",3,3,,No
RAINZ,10/12/17,(Genie),7,7,Rainzer,No
Road Boyz,11/17/15,Coconut,5,5,,No
ROMEO,11/4/15,CT,7,7,,Yes
SECHSKIES,4/15/97,"DSP, YG",5,6,Yellowkies,Yes
Seven O'Clock,3/16/17,"Staro, KDH",5,6,,No
Seventeen,5/26/15,Pledis,13,13,Carat,Yes
SF9,10/5/16,FNC,9,9,Fantasy,Yes
SG Wannabe,1/20/04,B2M,3,4,,Yes
SHINee,5/25/08,SM,4,5,Shawol,Yes
Shinhwa,3/24/98,"SM, Good, Shinhwa",6,6,Shinhwa Changjo,Yes
Signal,8/28/19,J-Star,4,4,,Yes
Snuper,11/16/15,Widmay,6,6,Swing,Yes
Spectrum,5/9/18,WYNN,6,7,,No
Speed,1/15/13,MBK,7,7,,No
