Date,Artist,Song Name,Video,Type,Release
4/5/21,Wendy,Like Water,https://youtu.be/-Ih5UArd4zk,Girl Solo,Major
4/5/21,ASTRO,One,https://youtu.be/XxlsLmHwCSk,Boy,Major
4/4/21,Rose,Gone,https://youtu.be/K9_VFxzCuQ0,Girl Solo,Minor
4/2/21,Hoshi,Spider,https://youtu.be/eOOsAeOx5a0,Boy Solo,Major
4/1/21,BTS,Film Out,https://youtu.be/zFT3f9biz68,Boy,Japanese
4/1/21,3YE,Stalker,https://youtu.be/8N0eXNqMtWc,Girl,Major
3/31/21,WJSN,Unnatural,https://youtu.be/wcgTStAuXQw,Girl,Major
3/31/21,TREASURE,Beautiful,https://youtu.be/UKXeico0yeI,Boy,Japanese
3/31/21,T1419,EXIT,https://youtu.be/coawNExrs9o,Boy,Major
3/31/21,Park Bom,Do Re Mi Fa Sol feat. Changmo,https://youtu.be/S_SssgjLBrQ,Girl Solo,Major
3/30/21,Baekhyun,Bambi,https://youtu.be/8M3WUaeIbOk,Boy Solo,Major
3/30/21,DKB,All In,https://youtu.be/vW25R0kyNdM,Boy,Major
3/29/21,Kim Sejeong,Warning (Feat. lIlBOI),https://youtu.be/bMO8svA2dVw,Girl Solo,Major
3/29/21,Kang Seungyoon,Iyah,https://youtu.be/-HVfBljdSWE,Boy Solo,Major
3/29/21,Kim Sunggyu,Hush,https://youtu.be/DvaqF6Kvjpc,Boy Solo,Major
3/29/21,Checkmate,You,https://youtu.be/OR5WbvJejZE,Co-Ed,Major
3/26/21,IU,Coin,https://youtu.be/86BST8NIpNM,Girl Solo,Major
3/26/21,IZ*ONE,3!4!,https://youtu.be/phLh4Mnnn28,Girl,Minor
3/25/21,IU,Lilac,https://youtu.be/v7bnOxV4jAc,Girl Solo,Major
3/24/21,Kangta,Freezing,https://youtu.be/faZn4yGW2Hk,Boy Solo,Minor
3/23/21,Oneus,No Diggity (Japanese ver.),https://youtu.be/IH4OdkcIIKk,Boy,Japanese
3/23/21,Sorn,Run,https://youtu.be/cAKSKi_KbcQ,Girl Solo,Major
